0,0.33,31.30,#,#,#,#,#,#,#,#,#,#,-9.79,-5.15,-2.84,0.26,0.23,-0.45,22.41,0,1000.00,*D7
1,0.70,32.70,#,#,#,#,#,#,#,185.54,0.42,22.85,37.07,-7.47,-5.53,-4.29,0.27,0.42,-0.19,22.46,0,1000.00,*9D
2,1.28,32.70,#,#,#,#,#,#,#,185.75,0.32,22.90,36.65,-7.75,-4.94,-2.55,-0.18,-0.00,0.46,22.46,0,1000.00,*7C
3,1.87,33.40,#,#,#,#,#,#,#,185.69,0.32,22.92,36.32,-8.11,-5.06,-1.30,-0.13,0.08,0.05,22.55,0,1000.00,*18
4,2.45,33.40,#,#,#,#,#,#,#,185.78,0.32,22.93,35.90,-6.99,-5.97,-1.65,-0.59,-1.00,0.11,22.60,0,1000.00,*82
5,3.03,34.10,#,#,#,#,#,#,#,185.62,0.32,22.93,35.59,-9.19,-4.97,-1.46,-0.85,-0.95,0.45,22.60,0,1000.00,*3B
6,3.62,34.80,#,#,#,#,#,#,#,185.44,0.32,22.94,35.47,-9.24,-3.00,0.03,0.02,0.15,-0.00,22.55,0,1000.00,*2E
7,4.20,34.80,#,#,#,#,#,#,#,185.58,0.32,22.95,35.58,-9.01,-3.37,-0.29,0.02,0.03,0.04,22.69,0,1000.00,*74
8,4.79,34.80,#,#,#,#,#,#,#,185.62,0.32,22.95,35.78,-9.10,-3.54,-0.44,-0.12,0.08,-0.12,22.69,0,1000.00,*1D
9,5.37,35.50,#,#,#,#,#,#,#,185.52,0.32,22.96,35.95,-8.44,-4.07,-1.36,-0.15,0.34,-0.51,22.60,0,1000.00,*C4
10,5.95,34.80,#,#,#,#,#,#,#,185.59,0.32,22.97,36.08,-8.76,-4.45,-0.71,-0.05,0.02,-0.02,22.60,0,1000.00,*48
11,6.54,35.50,#,#,#,#,#,#,#,185.46,0.31,22.97,36.15,-8.85,-3.96,-0.43,-0.01,0.05,-0.02,22.69,0,1000.00,*CF
12,7.12,35.50,#,#,#,#,#,#,#,185.91,0.32,22.97,36.14,-8.63,-3.90,-0.42,-0.05,-0.00,0.00,22.74,0,1000.00,*58
13,7.70,36.20,#,#,#,#,#,#,#,185.56,0.32,22.98,36.01,-8.57,-3.92,-0.23,-0.11,0.00,0.02,22.74,0,1000.00,*6C
14,8.29,36.20,#,#,#,#,#,#,#,185.63,0.32,22.99,35.90,-8.94,-3.68,-0.43,-0.04,0.06,-0.06,22.65,0,1000.00,*6A
15,8.87,36.20,#,#,#,#,#,#,#,185.69,0.32,22.98,35.72,-8.71,-3.86,-0.52,-0.08,0.10,-0.06,22.65,0,1000.00,*CF
16,9.46,36.20,#,#,#,#,#,#,#,185.75,0.32,22.99,35.61,-8.65,-3.98,-0.69,-0.11,0.04,-0.02,22.69,0,1000.00,*B2
17,10.04,36.90,#,#,#,#,#,#,#,185.57,0.32,22.99,35.64,-8.57,-3.92,-0.29,-0.06,-0.35,0.14,22.79,0,1000.00,*F6
18,10.62,36.90,#,#,#,#,#,#,#,185.82,0.32,22.99,35.69,-8.42,-4.05,-0.38,-0.05,0.14,-0.08,22.79,0,1000.00,*93
19,11.21,36.90,#,#,#,#,#,#,#,185.59,0.32,23.00,35.64,-8.62,-3.94,-0.08,0.05,0.04,-0.04,22.74,0,1000.00,*6C
20,11.79,36.90,#,#,#,#,#,#,#,185.67,0.32,22.99,35.58,-8.61,-4.18,-0.24,-0.05,-0.01,-0.00,22.84,0,1000.00,*7B
21,12.37,37.60,#,#,#,#,#,#,#,185.62,0.32,23.00,35.52,-8.62,-3.93,-0.25,0.00,0.03,-0.07,22.79,0,1000.00,*EE
22,12.96,36.90,#,#,#,#,#,#,#,185.58,0.32,23.00,35.46,-8.66,-4.25,-0.46,-0.07,0.08,-0.05,22.88,0,1000.00,*D7
23,13.54,36.90,#,#,#,#,#,#,#,185.72,0.32,23.00,35.40,-8.68,-3.96,-0.37,-0.02,-0.05,0.08,22.84,0,1000.00,*60
24,14.12,37.60,#,#,#,#,#,#,#,185.40,0.32,23.01,35.38,-8.44,-3.95,1.86,-0.29,-0.23,0.70,22.88,0,1000.00,*55
25,14.71,37.60,#,#,#,#,#,#,#,185.57,0.32,23.01,35.39,-7.79,-3.88,1.69,-1.36,0.08,-0.76,22.84,0,1000.00,*FA
26,15.29,37.60,#,#,#,#,#,#,#,185.61,0.32,23.02,35.45,-8.24,-4.72,3.16,0.16,-1.50,-0.11,22.84,0,1000.00,*69
27,15.88,37.60,#,#,#,#,#,#,#,185.56,0.32,23.02,35.53,-3.72,-1.85,8.00,0.06,-0.48,-0.18,22.88,0,1000.00,*40
28,16.46,37.60,#,#,#,#,#,#,#,185.46,0.32,23.02,35.60,-1.71,-1.28,9.07,0.27,-0.62,-0.03,22.84,0,1000.00,*6F
29,17.05,37.60,#,#,#,#,#,#,#,185.38,0.32,23.03,36.21,-2.15,-1.15,10.55,0.22,0.25,0.10,22.79,0,1000.00,*99
30,17.64,37.60,#,#,#,#,#,#,#,185.27,0.31,23.05,36.91,-1.30,-1.08,9.60,-0.06,-0.11,0.01,22.98,0,1000.00,*39
31,18.22,38.30,#,#,#,#,#,#,#,185.66,0.32,23.04,37.75,-0.73,-0.56,8.86,-0.41,-0.03,-0.10,22.84,0,1000.00,*E4
32,18.80,38.30,#,#,#,#,#,#,#,185.64,0.32,23.05,37.92,-3.21,0.92,9.33,-0.32,0.27,-0.12,22.88,0,1000.00,*13
33,19.38,38.30,#,#,#,#,#,#,#,185.39,0.32,23.06,37.50,-0.11,-6.40,16.51,0.28,0.38,0.43,22.88,0,1000.00,*D6
34,19.96,38.30,#,#,#,#,#,#,#,185.50,0.32,23.05,37.55,-1.69,-2.49,9.82,0.40,-0.08,0.96,22.98,0,1000.00,*4D
35,20.56,38.30,#,#,#,#,#,#,#,185.41,0.31,23.07,38.45,-1.19,-0.29,9.59,-0.60,-0.29,0.67,22.98,0,1000.00,*E0
36,21.14,38.30,#,#,#,#,#,#,#,185.30,0.32,23.07,38.75,-1.87,-0.58,11.13,-0.10,-0.06,0.02,22.93,0,1000.00,*95
37,21.72,39.00,#,#,#,#,#,#,#,185.39,0.32,23.07,38.91,-5.06,-0.37,8.89,0.06,0.08,-0.00,22.88,0,1000.00,*3B
38,22.31,39.00,#,#,#,#,#,#,#,185.22,0.32,23.07,38.47,-1.98,1.09,10.94,0.08,-0.18,-0.00,22.93,0,1000.00,*7A
39,22.89,39.00,#,#,#,#,#,#,#,185.16,0.32,23.07,38.00,-1.22,1.11,10.04,0.03,0.02,-0.43,22.88,0,1000.00,*C2
40,23.48,39.00,#,#,#,#,#,#,#,185.38,0.32,23.07,37.72,-0.55,0.44,9.78,-0.13,0.20,0.26,23.02,0,1000.00,*F3
41,24.06,39.00,#,#,#,#,#,#,#,185.36,0.32,23.08,37.55,-1.33,-0.05,12.66,-0.24,0.05,-0.01,23.02,0,1000.00,*F3
42,24.64,38.30,#,#,#,#,#,#,#,185.44,0.32,23.08,37.37,-0.59,0.30,9.38,-0.06,-0.19,-0.01,23.02,0,1000.00,*83
43,25.23,39.00,#,#,#,#,#,#,#,185.51,0.32,23.09,37.26,-0.20,1.22,9.08,-0.03,0.14,0.37,22.98,0,1000.00,*DB
44,25.81,39.00,#,#,#,#,#,#,#,185.56,0.32,23.09,37.16,0.61,0.38,10.06,-0.28,-0.15,0.01,23.07,0,1000.00,*DC
45,26.39,39.00,#,#,#,#,#,#,#,185.57,0.32,23.10,37.08,0.52,0.36,9.93,-0.03,0.01,-0.01,22.98,0,1000.00,*23
